date,open,high,low,close,adjusted_close,volume
2022-09-27,0.9546,0.9559,0.9491,0.9546,0.9546,0
2022-09-28,0.9515,0.9525,0.9431,0.9515,0.9515,0
2022-09-29,0.949,0.9583,0.9468,0.949,0.949,0
2022-09-30,0.9583,0.9642,0.955,0.9583,0.9583,0
2022-10-03,0.9651,0.9765,0.9643,0.9651,0.9651,0
2022-10-04,0.9758,0.9798,0.9739,0.9758,0.9758,0
2022-10-05,0.9771,0.9796,0.9704,0.9771,0.9771,0
2022-10-06,0.9726,0.9738,0.9692,0.9726,0.9726,0
2022-10-07,0.9691,0.9714,0.9677,0.9691,0.9691,0
2022-10-10,0.9679,0.9722,0.966,0.9679,0.9679,0
2022-10-11,0.9705,0.9714,0.9669,0.9705,0.9705,0
2022-10-12,0.9677,0.9687,0.9644,0.9677,0.9677,0
2022-10-13,0.9682,0.9776,0.9674,0.9682,0.9682,0
2022-10-14,0.9784,0.9793,0.9743,0.9784,0.9784,0
2022-10-17,0.9772,0.9796,0.9739,0.9772,0.9772,0
2022-10-18,0.9798,0.9808,0.9778,0.9798,0.9798,0
2022-10-19,0.98,0.9828,0.9788,0.98,0.98,0
2022-10-20,0.9812,0.985,0.9808,0.9812,0.9812,0
2022-10-21,0.9818,0.988,0.9815,0.9818,0.9818,0
2022-10-24,0.9838,0.9893,0.9817,0.9838,0.9838,0
2022-10-25,0.988,0.9925,0.9873,0.988,0.988,0
2022-10-26,0.991,0.9934,0.9896,0.991,0.991,0
2022-10-27,0.994,0.9954,0.9881,0.994,0.994,0
2022-10-28,0.9872,0.9942,0.9865,0.9872,0.9872,0
2022-10-31,0.9918,0.9939,0.9879,0.9918,0.9918,0
2022-11-01,0.9901,0.992,0.985,0.9901,0.9901,0
2022-11-02,0.9876,0.9883,0.9846,0.9876,0.9876,0
2022-11-03,0.9845,0.9893,0.984,0.9845,0.9845,0
2022-11-04,0.988,0.9887,0.9847,0.988,0.988,0
2022-11-07,0.9893,0.9918,0.9864,0.9893,0.9893,0
2022-11-08,0.9908,0.9931,0.9881,0.9908,0.9908,0
2022-11-09,0.9924,0.9936,0.9861,0.9924,0.9924,0
2022-11-10,0.9855,0.9894,0.982,0.9855,0.9855,0
2022-11-11,0.9834,0.9874,0.9743,0.9834,0.9834,0
2022-11-14,0.975,0.9777,0.9726,0.975,0.975,0
2022-11-15,0.9734,0.984,0.9734,0.9734,0.9734,0
2022-11-16,0.9766,0.9822,0.9764,0.9766,0.9766,0
2022-11-17,0.9815,0.9867,0.9804,0.9815,0.9815,0
2022-11-18,0.9874,0.9888,0.9846,0.9874,0.9874,0
2022-11-21,0.9848,0.9851,0.98,0.9848,0.9848,0
2022-11-22,0.9816,0.9831,0.9763,0.9816,0.9816,0
2022-11-23,0.9805,0.9832,0.9763,0.9805,0.9805,0
2022-11-24,0.98,0.9834,0.9795,0.98,0.98,0
2022-11-25,0.9819,0.9857,0.9816,0.9819,0.9819,0
2022-11-28,0.9821,0.9889,0.9792,0.9821,0.9821,0
2022-11-29,0.9815,0.9871,0.9812,0.9815,0.9815,0
2022-11-30,0.9854,0.9871,0.9788,0.9854,0.9854,0
2022-12-01,0.9837,0.9886,0.9822,0.9837,0.9837,0
2022-12-02,0.9858,0.9869,0.9823,0.9858,0.9858,0
2022-12-05,0.9873,0.9909,0.985,0.9873,0.9873,0
2022-12-06,0.9891,0.9908,0.986,0.9891,0.9891,0
2022-12-07,0.986,0.9895,0.9838,0.986,0.986,0
2022-12-08,0.9885,0.9899,0.9863,0.9885,0.9885,0
2022-12-09,0.9879,0.9888,0.9824,0.9879,0.9879,0
2022-12-12,0.9837,0.9872,0.9837,0.9837,0.9837,0
2022-12-13,0.9864,0.9899,0.9833,0.9864,0.9864,0
2022-12-14,0.9872,0.9888,0.9832,0.9872,0.9872,0
2022-12-15,0.9868,0.9911,0.9839,0.9868,0.9868,0
2022-12-16,0.9867,0.9904,0.9856,0.9867,0.9867,0
2022-12-19,0.9892,0.9912,0.9869,0.9892,0.9892,0
2022-12-20,0.9855,0.9866,0.9826,0.9855,0.9855,0
2022-12-21,0.9842,0.9858,0.9821,0.9842,0.9842,0
2022-12-22,0.9829,0.9863,0.9817,0.9829,0.9829,0
2022-12-23,0.987,0.9916,0.9862,0.987,0.987,0
2022-12-26,0.991,0.9923,0.9886,0.991,0.991,0
2022-12-27,0.9916,0.9923,0.9873,0.9916,0.9916,0
2022-12-28,0.9886,0.9903,0.9844,0.9886,0.9886,0
2022-12-29,0.9862,0.9862,0.9824,0.9862,0.9862,0
2022-12-30,0.9839,0.9886,0.9829,0.9839,0.9839,0
2023-01-02,0.9879,0.9902,0.9853,0.9879,0.9879,0
2023-01-03,0.9868,0.9904,0.9838,0.9868,0.9868,0
2023-01-04,0.9872,0.9876,0.9833,0.9872,0.9872,0
2023-01-05,0.986,0.9869,0.9832,0.986,0.986,0
2023-01-06,0.9848,0.9881,0.9847,0.9848,0.9848,0
2023-01-09,0.9876,0.9889,0.9852,0.9876,0.9876,0
2023-01-10,0.9884,0.9911,0.9874,0.9884,0.9884,0
2023-01-11,0.9905,1.0019,0.9897,0.9905,0.9905,0
2023-01-12,1.002,1.0067,1.0018,1.002,1.002,0
2023-01-13,1.007,1.0097,1.0019,1.007,1.007,0
2023-01-16,1.003,1.0038,1.0,1.003,1.003,0
2023-01-17,1.0023,1.0026,0.9935,1.0023,1.0023,0
2023-01-18,0.9946,0.9963,0.9878,0.9946,0.9946,0
2023-01-19,0.9889,0.9931,0.9884,0.9889,0.9889,0
2023-01-20,0.992,0.9989,0.992,0.992,0.992,0
2023-01-23,0.9994,1.0031,0.9987,0.9994,0.9994,0
2023-01-24,1.002,1.0066,0.9994,1.002,1.002,0
2023-01-25,1.0042,1.0068,1.0012,1.0042,1.0042,0
2023-01-26,1.0017,1.0026,0.9988,1.0017,1.0017,0
2023-01-27,1.0023,1.0038,0.9994,1.0023,1.0023,0
2023-01-30,1.001,1.0061,1.0003,1.001,1.001,0
2023-01-31,1.004,1.0051,0.9959,1.004,1.004,0
2023-02-01,0.9953,0.9992,0.9951,0.9953,0.9953,0
2023-02-02,0.9991,1.0003,0.9935,0.9991,0.9991,0
2023-02-03,0.9959,1.0031,0.9955,0.9959,0.9959,0
2023-02-06,0.9995,1.0001,0.9941,0.9995,0.9995,0
2023-02-07,0.9954,0.9959,0.9872,0.9954,0.9954,0
2023-02-08,0.9889,0.9895,0.9868,0.9889,0.9889,0
2023-02-09,0.9868,0.9901,0.9862,0.9868,0.9868,0
2023-02-10,0.9905,0.9905,0.9864,0.9905,0.9905,0
2023-02-13,0.9855,0.9876,0.9847,0.9859,0.9859,0
2023-02-14,0.9858,0.9891,0.9848,0.9858,0.9858,0
2023-02-15,0.9893,0.9911,0.9866,0.9893,0.9893,0
2023-02-16,0.9871,0.9885,0.9865,0.9871,0.9871,0
2023-02-17,0.9882,0.9925,0.9879,0.9882,0.9882,0
2023-02-20,0.9886,0.9887,0.9855,0.9885,0.9885,0
2023-02-21,0.9862,0.99,0.9847,0.9862,0.9862,0
2023-02-22,0.988,0.9891,0.9859,0.988,0.988,0
2023-02-23,0.9876,0.9905,0.9869,0.9876,0.9876,0
2023-02-24,0.9895,0.9918,0.9887,0.9895,0.9895,0
2023-02-27,0.9921,0.9945,0.9912,0.9921,0.9921,0
2023-02-28,0.9926,0.9962,0.9914,0.9926,0.9926,0
2023-03-01,0.9963,1.0024,0.9958,0.9963,0.9963,0
2023-03-02,1.0023,1.0041,0.9978,1.0023,1.0023,0
2023-03-03,0.9983,0.9987,0.9946,0.9983,0.9983,0
2023-03-06,0.9954,0.9966,0.9922,0.9954,0.9954,0
2023-03-07,0.9944,0.9963,0.9926,0.9944,0.9944,0
2023-03-08,0.9939,0.9942,0.9909,0.9939,0.9939,0
2023-03-09,0.9925,0.9925,0.9894,0.9925,0.9925,0
2023-03-10,0.9874,0.9877,0.9796,0.9874,0.9874,0
2023-03-13,0.9811,0.9834,0.9713,0.9811,0.9811,0
2023-03-14,0.9786,0.9822,0.9749,0.9786,0.9786,0
2023-03-15,0.981,0.9829,0.9706,0.981,0.981,0
2023-03-16,0.9855,0.9878,0.9799,0.9855,0.9855,0
2023-03-17,0.9862,0.9887,0.984,0.9862,0.9862,0
2023-03-20,0.9896,0.9938,0.9858,0.9896,0.9896,0
2023-03-21,0.996,0.9976,0.9935,0.996,0.996,0
2023-03-22,0.9928,0.9967,0.9926,0.9928,0.9928,0
2023-03-23,0.9963,0.9996,0.9937,0.9963,0.9963,0
2023-03-24,0.9931,0.9938,0.9849,0.9931,0.9931,0
2023-03-27,0.9903,0.9908,0.9858,0.9897,0.9897,0
2023-03-28,0.9888,0.9984,0.9879,0.9888,0.9888,0
2023-03-29,0.9975,0.9984,0.9946,0.9975,0.9975,0
2023-03-30,0.9957,0.9979,0.9935,0.9957,0.9957,0
