date,open,high,low,close,adjusted_close,volume
2023-05-08,1.263,1.2669,1.2611,1.2613,1.2613,171
2023-05-09,1.2613,1.264,1.2578,1.2624,1.2624,292
2023-05-10,1.2624,1.268,1.2603,1.2626,1.2626,190
2023-05-11,1.2626,1.2641,1.2497,1.2508,1.2508,1040
2023-05-12,1.2508,1.2541,1.2445,1.2448,1.2448,520
2023-05-14,1.2459,1.246,1.2445,1.2451,1.2451,131
2023-05-15,1.2451,1.2535,1.2445,1.2525,1.2525,67
2023-05-16,1.2525,1.2547,1.2466,1.2484,1.2484,492
2023-05-17,1.2484,1.2511,1.2422,1.2483,1.2483,520
2023-05-18,1.2482,1.2493,1.2392,1.2412,1.2412,746
2023-05-19,1.2412,1.2484,1.2392,1.2447,1.2447,175
2023-05-21,1.2448,1.2461,1.2447,1.2461,1.2461,31
2023-05-22,1.2461,1.2472,1.2414,1.2434,1.2434,397
2023-05-23,1.2434,1.2447,1.2373,1.2416,1.2416,513
2023-05-24,1.2417,1.247,1.2358,1.237,1.237,490
2023-05-25,1.237,1.2387,1.2308,1.2317,1.2317,518
2023-05-26,1.2317,1.2396,1.2311,1.2348,1.2348,64
2023-05-28,1.2344,1.2352,1.2343,1.2346,1.2346,30
2023-05-29,1.2345,1.2372,1.2335,1.2348,1.2348,101
2023-05-30,1.2348,1.2446,1.2327,1.2413,1.2413,185
2023-05-31,1.2413,1.245,1.2348,1.2446,1.2446,539
2023-06-01,1.2446,1.254,1.2401,1.2527,1.2527,375
2023-06-02,1.2527,1.2545,1.2442,1.2451,1.2451,696
2023-06-04,1.2455,1.2456,1.2427,1.2431,1.2431,244
2023-06-05,1.2431,1.2444,1.2369,1.2432,1.2432,517
2023-06-06,1.2432,1.2459,1.2392,1.2429,1.2429,344
2023-06-07,1.2429,1.25,1.2395,1.2445,1.2445,294
2023-06-08,1.2445,1.2564,1.2442,1.2558,1.2558,43
2023-06-09,1.2558,1.259,1.2534,1.258,1.258,210
2023-06-11,1.2573,1.2584,1.2572,1.258,1.258,23
2023-06-12,1.258,1.26,1.2487,1.2515,1.2515,757
2023-06-13,1.2515,1.2625,1.2514,1.2607,1.2607,31
2023-06-14,1.2607,1.2699,1.2601,1.2671,1.2671,66
2023-06-15,1.2671,1.2791,1.263,1.2785,1.2785,341
2023-06-16,1.2785,1.2848,1.2769,1.2823,1.2823,149
2023-06-18,1.2822,1.2833,1.2822,1.2831,1.2831,20
